index,floretion,x_coord,y_coord,oct
47834,10374820,251,183,47447244
47835,10374823,251,182,47447247
47836,10374841,250,180,47447271
47837,10374842,250,181,47447272
47838,10374844,251,181,47447274
47839,10374847,251,180,47447277
47840,10374921,252,180,47447411
47841,10374922,252,181,47447412
47842,10374924,253,181,47447414
47843,10374927,253,180,47447417
47844,10374929,252,182,47447421
47845,10374930,252,183,47447422
47846,10374932,253,183,47447424
47847,10374935,253,182,47447427
47848,10374945,254,182,47447441
47849,10374946,254,183,47447442
47850,10374948,255,183,47447444
47851,10374951,255,182,47447447
47852,10374969,254,180,47447471
47853,10374970,254,181,47447472
47854,10374972,255,181,47447474
47855,10374975,255,180,47447477
47856,10375113,252,176,47447711
47857,10375114,252,177,47447712
47858,10375116,253,177,47447714
47859,10375119,253,176,47447717
47860,10375121,252,178,47447721
47861,10375122,252,179,47447722
47862,10375124,253,179,47447724
47863,10375127,253,178,47447727
47864,10375137,254,178,47447741
47865,10375138,254,179,47447742
47866,10375140,255,179,47447744
47867,10375143,255,178,47447747
47868,10375161,254,176,47447771
47869,10375162,254,177,47447772
47870,10375164,255,177,47447774
47871,10375167,255,176,47447777
47872,10383945,240,160,47471111
47873,10383946,240,161,47471112
47874,10383948,241,161,47471114
47875,10383951,241,160,47471117
47876,10383953,240,162,47471121
47877,10383954,240,163,47471122
47878,10383956,241,163,47471124
47879,10383959,241,162,47471127
47880,10383969,242,162,47471141
47881,10383970,242,163,47471142
47882,10383972,243,163,47471144
47883,10383975,243,162,47471147
47884,10383993,242,160,47471171
47885,10383994,242,161,47471172
47886,10383996,243,161,47471174
47887,10383999,243,160,47471177
47888,10384009,240,164,47471211
47889,10384010,240,165,47471212
47890,10384012,241,165,47471214
47891,10384015,241,164,47471217
47892,10384017,240,166,47471221
47893,10384018,240,167,47471222
47894,10384020,241,167,47471224
47895,10384023,241,166,47471227
47896,10384033,242,166,47471241
47897,10384034,242,167,47471242
47898,10384036,243,167,47471244
47899,10384039,243,166,47471247
47900,10384057,242,164,47471271
47901,10384058,242,165,47471272
47902,10384060,243,165,47471274
47903,10384063,243,164,47471277
47904,10384137,244,164,47471411
47905,10384138,244,165,47471412
47906,10384140,245,165,47471414
47907,10384143,245,164,47471417
47908,10384145,244,166,47471421
47909,10384146,244,167,47471422
47910,10384148,245,167,47471424
47911,10384151,245,166,47471427
47912,10384161,246,166,47471441
47913,10384162,246,167,47471442
47914,10384164,247,167,47471444
47915,10384167,247,166,47471447
47916,10384185,246,164,47471471
47917,10384186,246,165,47471472
47918,10384188,247,165,47471474
47919,10384191,247,164,47471477
47920,10384329,244,160,47471711
47921,10384330,244,161,47471712
47922,10384332,245,161,47471714
47923,10384335,245,160,47471717
47924,10384337,244,162,47471721
47925,10384338,244,163,47471722
47926,10384340,245,163,47471724
47927,10384343,245,162,47471727
47928,10384353,246,162,47471741
47929,10384354,246,163,47471742
47930,10384356,247,163,47471744
47931,10384359,247,162,47471747
47932,10384377,246,160,47471771
47933,10384378,246,161,47471772
47934,10384380,247,161,47471774
47935,10384383,247,160,47471777
47936,10384457,240,168,47472111
47937,10384458,240,169,47472112
47938,10384460,241,169,47472114
47939,10384463,241,168,47472117
47940,10384465,240,170,47472121
47941,10384466,240,171,47472122
47942,10384468,241,171,47472124
47943,10384471,241,170,47472127
47944,10384481,242,170,47472141
47945,10384482,242,171,47472142
47946,10384484,243,171,47472144
47947,10384487,243,170,47472147
47948,10384505,242,168,47472171
47949,10384506,242,169,47472172
47950,10384508,243,169,47472174
47951,10384511,243,168,47472177
47952,10384521,240,172,47472211
47953,10384522,240,173,47472212
47954,10384524,241,173,47472214
47955,10384527,241,172,47472217
47956,10384529,240,174,47472221
47957,10384530,240,175,47472222
47958,10384532,241,175,47472224
47959,10384535,241,174,47472227
47960,10384545,242,174,47472241
47961,10384546,242,175,47472242
47962,10384548,243,175,47472244
47963,10384551,243,174,47472247
47964,10384569,242,172,47472271
47965,10384570,242,173,47472272
47966,10384572,243,173,47472274
47967,10384575,243,172,47472277
47968,10384649,244,172,47472411
47969,10384650,244,173,47472412
47970,10384652,245,173,47472414
47971,10384655,245,172,47472417
47972,10384657,244,174,47472421
47973,10384658,244,175,47472422
47974,10384660,245,175,47472424
47975,10384663,245,174,47472427
47976,10384673,246,174,47472441
47977,10384674,246,175,47472442
47978,10384676,247,175,47472444
47979,10384679,247,174,47472447
47980,10384697,246,172,47472471
47981,10384698,246,173,47472472
47982,10384700,247,173,47472474
47983,10384703,247,172,47472477
47984,10384841,244,168,47472711
47985,10384842,244,169,47472712
47986,10384844,245,169,47472714
47987,10384847,245,168,47472717
47988,10384849,244,170,47472721
47989,10384850,244,171,47472722
47990,10384852,245,171,47472724
47991,10384855,245,170,47472727
47992,10384865,246,170,47472741
47993,10384866,246,171,47472742
47994,10384868,247,171,47472744
47995,10384871,247,170,47472747
47996,10384889,246,168,47472771
47997,10384890,246,169,47472772
47998,10384892,247,169,47472774
47999,10384895,247,168,47472777
48000,10385481,248,168,47474111
48001,10385482,248,169,47474112
48002,10385484,249,169,47474114
48003,10385487,249,168,47474117
