index,floretion,x_coord,y_coord
843,29799,19,10
844,29817,18,8
845,29818,18,9
846,29820,19,9
847,29823,19,8
848,29833,16,12
849,29834,16,13
850,29836,17,13
851,29839,17,12
852,29841,16,14
853,29842,16,15
854,29844,17,15
855,29847,17,14
856,29857,18,14
857,29858,18,15
858,29860,19,15
859,29863,19,14
860,29881,18,12
861,29882,18,13
862,29884,19,13
863,29887,19,12
864,29961,20,12
865,29962,20,13
866,29964,21,13
867,29967,21,12
868,29969,20,14
869,29970,20,15
870,29972,21,15
871,29975,21,14
872,29985,22,14
873,29986,22,15
874,29988,23,15
875,29991,23,14
876,30009,22,12
877,30010,22,13
878,30012,23,13
879,30015,23,12
880,30153,20,8
881,30154,20,9
882,30156,21,9
883,30159,21,8
884,30161,20,10
885,30162,20,11
886,30164,21,11
887,30167,21,10
888,30177,22,10
889,30178,22,11
890,30180,23,11
891,30183,23,10
892,30201,22,8
893,30202,22,9
894,30204,23,9
895,30207,23,8
896,30793,24,8
897,30794,24,9
898,30796,25,9
899,30799,25,8
900,30801,24,10
901,30802,24,11
902,30804,25,11
903,30807,25,10
904,30817,26,10
905,30818,26,11
906,30820,27,11
907,30823,27,10
908,30841,26,8
909,30842,26,9
910,30844,27,9
911,30847,27,8
912,30857,24,12
913,30858,24,13
914,30860,25,13
915,30863,25,12
916,30865,24,14
917,30866,24,15
918,30868,25,15
919,30871,25,14
920,30881,26,14
921,30882,26,15
922,30884,27,15
923,30887,27,14
924,30905,26,12
925,30906,26,13
926,30908,27,13
927,30911,27,12
928,30985,28,12
929,30986,28,13
930,30988,29,13
931,30991,29,12
932,30993,28,14
933,30994,28,15
934,30996,29,15
935,30999,29,14
936,31009,30,14
937,31010,30,15
938,31012,31,15
939,31015,31,14
940,31033,30,12
941,31034,30,13
942,31036,31,13
943,31039,31,12
944,31177,28,8
945,31178,28,9
946,31180,29,9
947,31183,29,8
948,31185,28,10
949,31186,28,11
950,31188,29,11
951,31191,29,10
952,31201,30,10
953,31202,30,11
954,31204,31,11
955,31207,31,10
956,31225,30,8
957,31226,30,9
958,31228,31,9
959,31231,31,8
960,32329,24,0
961,32330,24,1
962,32332,25,1
963,32335,25,0
964,32337,24,2
965,32338,24,3
966,32340,25,3
967,32343,25,2
968,32353,26,2
969,32354,26,3
970,32356,27,3
971,32359,27,2
972,32377,26,0
973,32378,26,1
974,32380,27,1
975,32383,27,0
976,32393,24,4
977,32394,24,5
978,32396,25,5
979,32399,25,4
980,32401,24,6
981,32402,24,7
982,32404,25,7
983,32407,25,6
984,32417,26,6
985,32418,26,7
986,32420,27,7
987,32423,27,6
988,32441,26,4
989,32442,26,5
990,32444,27,5
991,32447,27,4
992,32521,28,4
993,32522,28,5
994,32524,29,5
995,32527,29,4
996,32529,28,6
997,32530,28,7
998,32532,29,7
999,32535,29,6
1000,32545,30,6
1001,32546,30,7
1002,32548,31,7
1003,32551,31,6
1004,32569,30,4
1005,32570,30,5
1006,32572,31,5
1007,32575,31,4
1008,32713,28,0
1009,32714,28,1
1010,32716,29,1
1011,32719,29,0
1012,32721,28,2
1013,32722,28,3
1014,32724,29,3
1015,32727,29,2
1016,32737,30,2
1017,32738,30,3
1018,32740,31,3
1019,32743,31,2
1020,32761,30,0
1021,32762,30,1
1022,32764,31,1
1023,32767,31,0
